city,snapshot_at,hex_id,neighborhood,event_category,event_id,event_name,location,start_date,end_date
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,893252,Shooting Permit,,,2025-10-10T03:30:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,889105,Shooting Permit,,,2025-10-01T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,891756,Shooting Permit,,,2025-09-27T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,894305,Shooting Permit,,,2025-10-12T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,892977,Shooting Permit,,,2025-10-07T20:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,890472,Shooting Permit,,,2025-09-19T23:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,889515,Shooting Permit,,,2025-09-20T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,892199,Shooting Permit,,,2025-09-29T12:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,889405,Shooting Permit,,,2025-09-13T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,769740,Shooting Permit,,,2024-03-22T06:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,777135,Shooting Permit,,,2024-04-20T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,778965,Shooting Permit,,,2024-04-27T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,713548,Shooting Permit,,,2023-05-06T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,733944,Shooting Permit,,,2023-08-25T23:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,855645,Shooting Permit,,,2025-05-05T05:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,703375,Shooting Permit,,,2023-03-31T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,840306,Shooting Permit,,,2025-03-16T19:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,849382,Shooting Permit,,,2025-04-29T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,751167,Shooting Permit,,,2023-12-01T22:30:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,735607,Shooting Permit,,,2023-08-23T23:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Queens,Shooting Permit,886277,Shooting Permit,,,2025-09-02T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,807966,Shooting Permit,,,2024-09-07T04:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,841258,Shooting Permit,,,2025-03-16T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,815104,Shooting Permit,,,2024-10-16T06:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,743949,Shooting Permit,,,2023-10-07T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Queens,Shooting Permit,723658,Shooting Permit,,,2023-06-15T12:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,793191,Shooting Permit,,,2024-06-18T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,767315,Shooting Permit,,,2024-03-08T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Bronx,Shooting Permit,704677,Shooting Permit,,,2023-04-06T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,839280,Shooting Permit,,,2025-03-06T12:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,764961,Shooting Permit,,,2024-03-07T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,806738,Shooting Permit,,,2024-08-30T12:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,771602,Shooting Permit,,,2024-03-29T12:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Bronx,Shooting Permit,789719,Shooting Permit,,,2024-06-10T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Queens,Shooting Permit,837337,Shooting Permit,,,2025-03-03T22:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Queens,Shooting Permit,695381,Shooting Permit,,,2023-02-14T05:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,809067,Shooting Permit,,,2024-09-06T20:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,783641,Shooting Permit,,,2024-05-18T20:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Rigging Permit,778886,Rigging Permit,,,2024-04-24T19:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,745955,Shooting Permit,,,2023-11-07T21:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,805279,Shooting Permit,,,2024-08-17T03:00:00.000
