city,alert_category,alert_count,snapshot_at
chicago,accessibility,9,2026-05-24T14:09:23.955323+00:00
chicago,delay,3,2026-05-24T14:09:23.955323+00:00
chicago,other,6,2026-05-24T14:09:23.955323+00:00
chicago,reroute,96,2026-05-24T14:09:23.955323+00:00
chicago,station,4,2026-05-24T14:09:23.955323+00:00
chicago,stop_change,11,2026-05-24T14:09:23.955323+00:00
